"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","DODAGID","Info"
"217","905.218570","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","321","121","","RPL Control (DODAG Information Object)"
"218","905.219113","","","IEEE 802.15.4","5","","121","","Ack"
"219","912.223415","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","262","54","","RPL Control (DODAG Information Object)"
"220","912.223618","","","IEEE 802.15.4","5","","54","","Ack"
"221","937.032928","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","321","122","","RPL Control (DODAG Information Object)"
"222","937.062481","","","IEEE 802.15.4","5","","122","","Ack"
"223","941.202305","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","444","13","","RPL Control (DODAG Information Object)"
"224","941.202442","","","IEEE 802.15.4","5","","13","","Ack"
"225","975.297705","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","265","55","","RPL Control (DODAG Information Object)"
"226","975.297887","","","IEEE 802.15.4","5","","55","","Ack"
"227","981.567988","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","321","123","","RPL Control (DODAG Information Object)"
"228","981.568412","","","IEEE 802.15.4","5","","123","","Ack"
"229","991.017993","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","141","","RPL Control (DODAG Information Object)"
"230","994.979474","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","124","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"231","994.979950","","","IEEE 802.15.4","5","","124","","Ack"
"232","996.298504","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","56","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"233","996.299195","","","IEEE 802.15.4","5","","56","","Ack"
"234","1020.508924","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","440","14","","RPL Control (DODAG Information Object)"
"235","1020.509369","","","IEEE 802.15.4","5","","14","","Ack"
"236","1033.888959","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","440","15","","RPL Control (DODAG Information Object)"
"237","1040.669174","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","308","125","","RPL Control (DODAG Information Object)"
"238","1040.669524","","","IEEE 802.15.4","5","","125","","Ack"
"239","1043.354980","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","262","57","","RPL Control (DODAG Information Object)"
"240","1043.355439","","","IEEE 802.15.4","5","","57","","Ack"
"241","1093.232594","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","257","58","","RPL Control (DODAG Information Object)"
"242","1093.233036","","","IEEE 802.15.4","5","","58","","Ack"
"243","1094.866211","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","432","16","","RPL Control (DODAG Information Object)"
"244","1094.866699","","","IEEE 802.15.4","5","","16","","Ack"
"245","1096.711454","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","17","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"246","1096.711841","","","IEEE 802.15.4","5","","17","","Ack"
"247","1096.712071","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","59","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"248","1096.712348","","","IEEE 802.15.4","5","","59","","Ack"
"249","1097.926889","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","308","126","","RPL Control (DODAG Information Object)"
"250","1097.927367","","","IEEE 802.15.4","5","","126","","Ack"
"251","1131.409145","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","308","127","","RPL Control (DODAG Information Object)"
"252","1131.409581","","","IEEE 802.15.4","5","","127","","Ack"
"253","1145.135647","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","422","18","","RPL Control (DODAG Information Object)"
"254","1145.136118","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","422","18","","RPL Control (DODAG Information Object)"
"255","1145.163735","","","IEEE 802.15.4","5","","18","","Ack"
"256","1155.140210","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","257","60","","RPL Control (DODAG Information Object)"
"257","1155.140641","","","IEEE 802.15.4","5","","60","","Ack"
"258","1177.639730","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","422","19","","RPL Control (DODAG Information Object)"
"259","1177.639850","","","IEEE 802.15.4","5","","19","","Ack"
"260","1196.825866","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","302","128","","RPL Control (DODAG Information Object)"
"261","1196.826260","","","IEEE 802.15.4","5","","128","","Ack"
"262","1218.216832","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","418","20","","RPL Control (DODAG Information Object)"
"263","1218.217031","","","IEEE 802.15.4","5","","20","","Ack"
"264","1239.263850","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","258","61","","RPL Control (DODAG Information Object)"
"265","1239.264319","","","IEEE 802.15.4","5","","61","","Ack"
"266","1266.624494","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","419","21","","RPL Control (DODAG Information Object)"
"267","1266.624684","","","IEEE 802.15.4","5","","21","","Ack"
"268","1285.031256","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","302","129","","RPL Control (DODAG Information Object)"
"269","1285.031691","","","IEEE 802.15.4","5","","129","","Ack"
"270","1311.222345","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","261","62","","RPL Control (DODAG Information Object)"
"271","1311.222672","","","IEEE 802.15.4","5","","62","","Ack"
"272","1335.493914","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","415","22","","RPL Control (DODAG Information Object)"
"273","1335.494411","","","IEEE 802.15.4","5","","22","","Ack"
"274","1356.136503","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","302","130","","RPL Control (DODAG Information Object)"
"275","1356.137057","","","IEEE 802.15.4","5","","130","","Ack"
"276","1385.132128","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","265","63","","RPL Control (DODAG Information Object)"
"277","1385.132684","","","IEEE 802.15.4","5","","63","","Ack"
"278","1396.472724","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","415","23","","RPL Control (DODAG Information Object)"
"279","1396.473103","","","IEEE 802.15.4","5","","23","","Ack"
"280","1416.513898","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","297","131","","RPL Control (DODAG Information Object)"
"281","1416.514054","","","IEEE 802.15.4","5","","131","","Ack"
"282","1428.379866","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","412","24","","RPL Control (DODAG Information Object)"
"283","1428.380311","","","IEEE 802.15.4","5","","24","","Ack"
"284","1449.936307","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","257","64","","RPL Control (DODAG Information Object)"
"285","1449.936741","","","IEEE 802.15.4","5","","64","","Ack"
"286","1476.818109","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","411","25","","RPL Control (DODAG Information Object)"
"287","1476.818589","","","IEEE 802.15.4","5","","25","","Ack"
"288","1498.165030","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","297","132","","RPL Control (DODAG Information Object)"
"289","1498.165527","","","IEEE 802.15.4","5","","132","","Ack"
"290","1512.805585","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","408","26","","RPL Control (DODAG Information Object)"
"291","1512.806014","","","IEEE 802.15.4","5","","26","","Ack"
"292","1517.585982","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","262","65","","RPL Control (DODAG Information Object)"
