"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","Info"
"105","119.267339","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","306","124","RPL Control (DODAG Information Object)"
"107","123.240383","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","382","196","RPL Control (DODAG Information Object)"
"108","124.575082","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","87","RPL Control (Destination Advertisement Object)"
"110","124.575696","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","125","RPL Control (Destination Advertisement Object)"
"112","126.225584","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","301","126","RPL Control (DODAG Information Object)"
"113","130.110354","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","17","RPL Control (DODAG Information Object)"
"114","132.720764","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","127","RPL Control (Destination Advertisement Object)"
"115","132.765744","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","127","RPL Control (Destination Advertisement Object)"
"117","135.180979","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","197","RPL Control (Destination Advertisement Object)"
"120","197.703484","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","440","89","RPL Control (DODAG Information Object)"
"121","197.748166","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","369","198","RPL Control (DODAG Information Object)"
"123","205.683773","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","309","128","RPL Control (DODAG Information Object)"
"125","229.579613","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","309","129","RPL Control (DODAG Information Object)"
"126","231.739855","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","90","RPL Control (Destination Advertisement Object)"
"128","231.740470","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","130","RPL Control (Destination Advertisement Object)"
"130","233.629936","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","446","91","RPL Control (DODAG Information Object)"
"132","250.310312","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","18","RPL Control (DODAG Information Object)"
"133","251.615562","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","369","199","RPL Control (DODAG Information Object)"
"134","252.950436","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","200","RPL Control (Destination Advertisement Object)"
"136","253.490159","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","131","RPL Control (Destination Advertisement Object)"
"138","255.965321","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","357","201","RPL Control (DODAG Information Object)"
"140","277.652074","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","446","92","RPL Control (DODAG Information Object)"
"142","299.302824","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","357","202","RPL Control (DODAG Information Object)"
"144","317.513155","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","445","93","RPL Control (DODAG Information Object)"
"146","335.918872","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","357","203","RPL Control (DODAG Information Object)"
"150","388.556466","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","27","","20","RPL Control (DODAG Information Solicitation)"
"151","391.316646","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","19","RPL Control (DODAG Information Object)"
"152","392.531294","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","298","134","RPL Control (DODAG Information Object)"
"153","396.341687","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","21","RPL Control (Destination Advertisement Object)"
"155","396.342316","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","135","RPL Control (Destination Advertisement Object)"
"157","396.431694","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","682","22","RPL Control (DODAG Information Object)"
"158","396.821549","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","136","RPL Control (Destination Advertisement Object)"
"160","397.166880","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","618","23","RPL Control (DODAG Information Object)"
"162","399.131802","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","289","137","RPL Control (DODAG Information Object)"
"163","399.641171","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","20","RPL Control (DODAG Information Object)"
"164","401.546902","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","561","24","RPL Control (DODAG Information Object)"
"166","403.721682","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","525","26","RPL Control (DODAG Information Object)"
"168","404.411870","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","138","RPL Control (Destination Advertisement Object)"
"170","409.422059","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","21","RPL Control (DODAG Information Object)"
